"search-number","evaluation","evals-requested-so-far","trust_low*","trust_high*","lie_low*","lie_high*","trust_fall_low*","trust_fall_high*","lie_fall_low*","lie_fall_high*","trust_rise_low*","trust_rise_high*","lie_rise_low*","lie_rise_high*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","440","500","0","40","0","50","0","5","0","3","0","1","0","3","""-1036293808""","4.514705882352941","4.514705882352941","4.514705882352941","0","4.514705882352941"
"1","441","500","0","20","0","20","0","2","0","3","0","4","0","1","""811339043""","76.54838709677419","76.54838709677419","76.54838709677419","0","76.54838709677419"
"1","442","500","0","20","0","20","0","2","0","3","0","4","0","1","""1194231788""","75.60215053763442","75.60215053763442","75.60215053763442","0","75.60215053763442"
"1","443","500","0","20","0","20","0","2","0","3","0","4","0","1","""-715656527""","75.44565217391305","75.44565217391305","75.44565217391305","0","75.44565217391305"
"1","444","500","0","20","0","20","0","2","0","3","0","4","0","1","""-1934488618""","76.57142857142857","76.57142857142857","76.57142857142857","0","76.57142857142857"
"1","445","500","0","20","0","20","0","2","0","3","0","4","0","1","""-1203228400""","75.95759717314488","75.95759717314488","75.95759717314488","0","75.95759717314488"
"1","446","500","0","20","0","20","0","2","0","3","0","4","0","1","""-2043076521""","76.32167832167832","76.32167832167832","76.32167832167832","0","76.32167832167832"
"1","447","500","0","20","0","20","0","2","0","3","0","4","0","1","""-682863485""","75.88808664259928","75.88808664259928","75.88808664259928","0","75.88808664259928"
"1","448","500","0","20","0","20","0","2","0","3","0","4","0","1","""1661776818""","75.27472527472527","75.27472527472527","75.27472527472527","0","75.27472527472527"
"1","449","500","0","20","0","20","0","2","0","3","0","4","0","1","""881804819""","76.28880866425993","76.28880866425993","76.28880866425993","0","76.28880866425993"
"1","450","500","0","20","0","20","0","2","0","3","0","4","0","1","""1989525431""","75.3851590106007","75.3851590106007","75.3851590106007","0","75.3851590106007"
"1","451","500","0","20","0","10","0","1","0","1","0","4","0","5","""-626442297""","21.607913669064747","21.607913669064747","21.607913669064747","0","21.607913669064747"
"1","452","500","0","20","0","10","0","1","0","1","0","4","0","5","""834351129""","19.648745519713263","19.648745519713263","19.648745519713263","0","19.648745519713263"
"1","453","500","0","20","0","10","0","1","0","1","0","4","0","5","""1386193167""","20.7992700729927","20.7992700729927","20.7992700729927","0","20.7992700729927"
"1","454","500","0","20","0","10","0","1","0","1","0","4","0","5","""859969072""","20.608695652173914","20.608695652173914","20.608695652173914","0","20.608695652173914"
"1","455","500","0","20","0","10","0","1","0","1","0","4","0","5","""1712313522""","21.498220640569397","21.498220640569397","21.498220640569397","0","21.498220640569397"
"1","456","500","0","20","0","10","0","1","0","1","0","4","0","5","""-1147229627""","18.86080586080586","18.86080586080586","18.86080586080586","0","18.86080586080586"
"1","457","500","0","20","0","10","0","1","0","1","0","4","0","5","""-986172035""","21.263940520446095","21.263940520446095","21.263940520446095","0","21.263940520446095"
"1","458","500","0","20","0","10","0","1","0","1","0","4","0","5","""641665785""","19.54074074074074","19.54074074074074","19.54074074074074","0","19.54074074074074"
"1","459","500","0","20","0","10","0","1","0","1","0","4","0","5","""-639985572""","20.05243445692884","20.05243445692884","20.05243445692884","0","20.05243445692884"
"1","460","500","0","20","0","10","0","1","0","1","0","4","0","5","""1286777535""","19.72563176895307","19.72563176895307","19.72563176895307","0","19.72563176895307"
"1","461","500","0","20","0","20","0","3","0","2","0","1","0","3","""943913394""","2.7014388489208634","2.7014388489208634","2.7014388489208634","0","2.7014388489208634"
"1","462","500","0","20","0","20","0","3","0","2","0","1","0","3","""1192637381""","2.8741007194244603","2.8741007194244603","2.8741007194244603","0","2.8741007194244603"
"1","463","500","0","20","0","20","0","3","0","2","0","1","0","3","""-853515367""","2.357400722021661","2.357400722021661","2.357400722021661","0","2.357400722021661"
"1","464","500","0","20","0","20","0","3","0","2","0","1","0","3","""-234775365""","2.293286219081272","2.293286219081272","2.293286219081272","0","2.293286219081272"
"1","465","500","0","20","0","20","0","3","0","2","0","1","0","3","""-1030673189""","2.6210526315789475","2.6210526315789475","2.6210526315789475","0","2.6210526315789475"
"1","466","500","0","20","0","20","0","3","0","2","0","1","0","3","""1000969196""","2.325088339222615","2.325088339222615","2.325088339222615","0","2.325088339222615"
"1","467","500","0","20","0","20","0","3","0","2","0","1","0","3","""-515950116""","2.660649819494585","2.660649819494585","2.660649819494585","0","2.660649819494585"
"1","468","500","0","20","0","20","0","3","0","2","0","1","0","3","""1612237572""","2.36996336996337","2.36996336996337","2.36996336996337","0","2.36996336996337"
